epoch,train_loss,val_loss,train_mean_ang,train_median_ang,train_p95_ang,train_p99_ang,train_max_ang,train_var_ang,val_mean_ang,val_median_ang,val_p95_ang,val_p99_ang,val_max_ang,val_var_ang
21,0.008829878233373166,0.0035778147478898368,6.6180086,6.2099986,13.358902,16.753128,24.524017,14.138475,4.0881343,3.6254802,9.985175,12.195651,12.913868,6.647618
22,0.008519975133240223,0.004000462591648102,6.5797806,5.9816318,12.840782,15.873878,24.460941,12.646946,4.2978287,3.1471715,10.432516,12.672948,12.70599,8.992455
23,0.007984285522252322,0.003134955962498983,6.2269278,5.6974626,12.310603,15.928669,36.225815,13.93857,3.7985055,3.056909,9.344317,12.008679,13.640601,7.4532814
24,0.006759034097194671,0.003109376256664594,5.8093724,5.0838428,12.004219,15.164719,19.914553,10.666351,3.7951765,3.016101,9.866458,11.677694,13.107187,7.602986
25,0.007071984559297561,0.0032652337104082108,6.0051956,5.551391,11.74816,15.328206,19.91006,10.44954,3.862473,2.9328587,9.818115,12.489434,12.961611,8.309317
26,0.007513613998889923,0.0029158852994441986,6.169623,5.82366,12.56384,15.853341,22.8534,11.562844,3.6963322,3.0364633,9.26063,11.857884,12.288301,7.0140133
27,0.006234801635146141,0.002970962474743525,5.615013,5.264586,11.137839,14.298591,18.067518,9.3414135,3.6342773,2.5917444,9.540752,11.770297,11.837443,8.040252
28,0.006051229946315288,0.0031843328227599463,5.4056025,4.800242,11.394659,14.209295,18.245804,10.457103,3.6785889,2.7308211,10.914201,12.131149,12.208151,8.488437
29,0.006334890220314264,0.0035276332249244056,5.6424036,5.2983484,11.848145,14.130801,21.232508,9.854332,4.004242,2.9601533,10.2617655,12.3231535,12.923766,8.75205
30,0.006797082349658012,0.0030480449398358664,5.797369,5.100695,12.261279,16.08154,20.324017,11.254848,3.5788581,2.6332526,9.08713,11.680693,12.916495,7.921319
31,0.0055091483891010285,0.002914315710465113,5.249875,4.8531275,10.006683,14.697916,17.754414,8.567444,3.4983041,2.4924674,8.802223,12.057682,13.150623,7.949113
32,0.005999879110604524,0.0030423334489266076,5.563042,5.213497,11.173885,13.930597,15.135694,8.509226,3.653317,2.9404013,8.656389,12.688107,12.7335205,7.4300056
33,0.005831149686127901,0.0036748101313908896,5.4350104,5.0306897,11.023859,13.487529,16.964037,8.780525,4.0218434,3.0117497,10.992629,12.068748,14.034092,10.136418
34,0.005707242451608181,0.0028433334082365036,5.3636684,4.924497,11.309344,14.115813,18.129498,8.775014,3.5151362,2.7333097,9.172297,12.128184,13.509595,7.699413
35,0.004885832387953997,0.002898136153817177,4.9633365,4.695526,9.976757,13.651802,16.989735,7.500495,3.505023,2.5247412,9.218074,11.796309,13.33656,7.9723945
36,0.004887003898620606,0.003278834745287895,4.9633217,4.462385,10.033961,12.435911,15.075017,7.6060505,3.726152,2.8124363,10.6985855,12.705947,13.403315,9.524733
37,0.004628409594297409,0.0028297112633784613,4.813444,4.417033,9.80921,13.03393,13.9862,7.2436857,3.397749,2.6417966,8.078554,11.701298,13.373051,7.556036
